basin_id,basin_name,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,average
1,Khatanga,314.3,11.7,7.1,4.3,44.2,5079.7,2577,1389,871.4,483.8,292.2,176.5,937.6
2,Olenek,246.2,32,19.3,11.7,131.7,3286.4,1102.1,614.1,374.1,221.3,133.7,80.7,521.1
3,Anabar,105.2,17.1,10.3,6.2,3.8,825.6,416.5,202.3,120.5,71,42.9,25.9,153.9
4,Yana,179.2,14.6,8.8,5.3,31.8,1507.2,1364.1,761.5,366.5,221.4,133.7,80.8,389.6
5,Yenisei,3227,148.4,90.5,1550.5,32543,32409.6,19438,12848.2,9618.3,4888.2,2891.2,1747,10116.7
6,Indigirka,380.5,35.9,21.7,13.1,90.2,3362,2901.5,1357.2,726.2,435.2,262.9,158.8,812.1
7,Lena,3154.4,131,79.3,72.4,17418.4,24981.6,16930.1,12609.2,10727.2,4767.9,2878.1,1738.4,7957.3
8,Omoloy,5.4,0.1,0.1,0,0,85.2,55.4,25.8,14.7,8.7,5.3,3.2,17
9,Tana (NO. FI),14.4,0,0,0,570.3,155.7,91.4,55.2,43.5,29.8,15.6,9.4,82.1
10,Colville,37.2,0.3,0.2,0.1,9.1,387.6,395.5,206.9,115.8,64.9,39.2,23.7,106.7
11,Alazeya,36.8,6.2,3.8,2.3,1.4,379.4,111,62.8,38,22.9,13.8,8.4,57.2
12,Anderson,10.9,0.1,0,0,509.7,159.5,87,52.5,31.7,19.2,11.6,7,74.1
13,Kolyma,744.2,32.2,19.4,11.8,1068.5,5088.2,7188.3,3241.6,2103.5,1115.2,673.6,406.8,1807.8
14,Tuloma,18.9,2.3,1.4,0.9,346.4,109.5,60,36.1,23.8,24.3,11,6.7,53.4
15,Muonio,28.8,2.6,1.6,42.8,401.1,222.1,150,77.7,59,37.5,20.3,12.3,88
16,Yukon,970.1,50.5,30.5,188.7,10633.3,9753.4,5955.3,3321.4,2581.2,1529.6,842.4,508.9,3030.4
17,Palyavaam,21.3,0,0,0,0,375.7,207.3,105.3,71,38.2,23.1,13.9,71.3
18,Kemijoki,97.4,0.6,0.4,118.8,1797.4,489.6,291.6,186.9,216.4,273.3,103.3,62.4,303.2
19,Mackenzie,1127.6,17.4,10.7,1812.7,15880.7,15834.5,9200.4,4975.5,3146.6,2089.5,1153.4,696.8,4662.1
20,Noatak,31.3,0.2,0.1,0.1,80.4,396.1,219.9,124.9,125.9,55.1,33.3,20.1,90.6
21,Anadyr,236.4,0.3,0.2,0.1,490.4,4399.7,2076.1,1092.3,821.1,423.2,255.6,154.4,829.2
22,Pechora,491.8,6.2,3.8,289.8,11661.2,7759,3254,1926.2,1571.1,890,508.6,307.2,2389.1
23,Lule,62.6,0.2,0.1,223.8,770.3,756.9,379.1,222.4,190.3,136.6,67.2,40.6,237.5
24,Kalixaelven,15.7,1.3,0.8,77.7,247.6,151.5,70.3,40.6,27.5,23.7,11.5,7,56.3
25,Ob,1386,39.6,27.2,16168.4,29723.9,13645.7,7368,4708.1,3655.1,2815,1373,832.4,6811.9
26,Ellice,6.1,0,0,0,0,191.7,49.8,30.1,18.2,11,6.6,4,26.4
27,Taz,198,1.2,0.7,0.4,2584.4,4632.7,1464.3,874,638.6,347.6,209.9,126.8,923.2
28,Kobuk,42.2,6.4,3.8,2.3,412.7,220.1,123.9,74.7,67.7,31.9,19.3,11.6,84.7
29,Coppermine,5.8,0,0,0,78,143,49.3,28,16.9,10.2,6.2,3.7,28.4
30,Hayes(Trib. Arctic Ocean),5.4,0,0,0,0,166.9,45,26.6,16.1,9.7,5.9,3.5,23.3
31,Pur,148.1,0.1,0.1,0.1,1437.3,3032.3,923,559,579.3,266.2,160.8,97.2,600.3
32,Varzuga,9.4,0,0,0,136.8,37.7,22,13.3,22.5,28,10.2,6.2,23.9
33,Ponoy,25.4,0,0,0,317,87.6,51.2,35.7,53.7,78.8,27.6,16.7,57.8
34,Kovda,6.1,0,0,0,176.4,56.1,30.5,18.5,14.2,15.6,6.6,4,27.3
35,Back,65.4,0,0,0,1114.3,1643.1,527.6,318.2,198.1,117.6,71,42.9,341.5
36,Kem,47.1,0.1,0.1,528.5,780.4,270.5,156.3,98,86,139.2,50.7,30.6,182.3
37,Nadym,76.6,0,0,0,900.9,1469.2,470.9,292.2,300.6,137.5,83.1,50.2,315.1
38,Quoich,8.3,0,0,0,0,243.3,69.9,39.9,25.6,15,9,5.5,34.7
39,Mezen,74.6,0.9,0.5,783.4,2104.3,771.1,416.2,250.1,159.9,173.5,77.3,46.7,404.9
40,Iijoki,18.8,0,0,265.2,199.4,79.2,46.6,30.2,31.2,60,20.5,12.4,63.6
41,Joekulsa A Fjoellum,15,0,0,1.1,150.8,118.6,47.4,29.6,29.4,44.3,16.5,9.8,38.5
