basin_id,basin_name,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,average
1,Khatanga,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8
2,Olenek,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3,11.3
3,Anabar,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6,2.6
4,Yana,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4
5,Yenisei,14005,14005,14010.8,22586.1,67379.7,87527.4,79042.8,56657.6,32477.7,18324.4,14275.6,14012.4,36192.1
6,Indigirka,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1
7,Lena,2433.3,2433.3,2433.3,2433.4,2434.3,2436.8,2447,2468.5,2445.9,2433.4,2433.3,2433.3,2438.8
8,Omoloy,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
9,Tana (NO. FI),14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6
10,Colville,5,5,5,5,5,5,5,5,5,5,5,5,5
11,Alazeya,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6,12.6
12,Anderson,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
13,Kolyma,261.7,261.7,261.7,261.7,261.7,262,262.3,264.3,262.8,261.7,261.7,261.7,262.1
14,Tuloma,397.5,397.5,397.5,397.5,397.5,397.5,397.5,397.5,397.5,397.5,397.5,397.5,397.5
15,Muonio,110,110,110,110,110,110,110,110,110,110,110,110,110
16,Yukon,709.7,709.7,709.7,733.2,864.6,869.9,819.9,756.4,751.8,725.8,712.9,710.3,756.2
17,Palyavaam,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8,14.8
18,Kemijoki,322.5,322.5,322.5,322.5,322.5,322.5,322.5,322.5,322.5,322.5,322.5,322.5,322.5
19,Mackenzie,3302.6,3302.6,3302.7,3524.1,3876.2,3757.9,3650.4,3685.7,3512.4,3419.4,3324.3,3302.9,3496.8
20,Noatak,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3
21,Anadyr,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3,21.3
22,Pechora,1147.7,1147.7,1147.7,1147.7,1147.7,1147.7,1147.7,1147.7,1147.7,1147.7,1147.7,1147.7,1147.7
23,Lule,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2,64.2
24,Kalixaelven,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1
25,Ob,55630.5,55630.5,55641.7,95861.9,304570.9,399138.7,534705.8,460741,242699.8,102971.4,57227.1,55632.2,201704.3
26,Ellice,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Taz,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6,28.6
28,Kobuk,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1
29,Coppermine,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
30,Hayes(Trib. Arctic Ocean),0,0,0,0,0,0,0,0,0,0,0,0,0
31,Pur,372.7,372.7,372.7,372.7,372.7,372.7,372.7,372.7,372.7,372.7,372.7,372.7,372.7
32,Varzuga,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8,7.8
33,Ponoy,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
34,Kovda,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8,62.8
35,Back,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
36,Kem,147.8,147.8,147.8,147.8,147.8,147.8,147.8,147.8,147.8,147.8,147.8,147.8,147.8
37,Nadym,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7,82.7
38,Quoich,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Mezen,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7,79.7
40,Iijoki,138.9,138.9,138.9,138.9,139,139.1,139.1,139.6,139.2,139,138.9,138.9,139
41,Joekulsa A Fjoellum,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3
42,Svarta. Skagafiroi,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1
43,Oulujoki,435,435,435,435,445.6,464,490.9,525.1,480.8,440.8,435,435,454.7
44,Lagarfljot,9,9,9,9,9,9,9,9,9,9,9,9,9
45,Thelon,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5
46,Angerman,117.4,117.4,117.4,117.4,117.4,117.4,117.4,117.4,117.4,117.4,117.4,117.4,117.4
47,Thjorsa,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
48,Northern Dvina(Severnaya Dvina),3254.5,3254.5,3254.5,3256.1,3650.4,3924,3905.7,3715.4,3340.4,3254.5,3254.5,3254.5,3443.2
49,Oelfusa,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4
50,Nizhny Vyg (Soroka),164.6,164.6,164.6,164.6,164.6,164.6,164.6,164.6,164.6,164.6,164.6,164.6,164.6
51,Kuskokwim,57.6,57.6,57.6,57.6,59.3,59.5,58.4,57.6,57.6,57.6,57.6,57.6,58
52,Vuoksi,1650.8,1650.8,1650.8,1650.8,1715.7,1799.9,1953.7,2144.8,1886.8,1667.7,1650.8,1650.8,1756.1
53,Onega,333.5,333.5,333.5,333.5,381.5,426,423.5,383.5,338.8,333.5,333.5,333.5,357.3
54,Susitna,152.5,152.5,152.5,153.5,187.7,189.8,163.9,153.7,152.6,152.6,152.5,152.5,159.7
55,Kymijoki,1285.5,1285.5,1285.5,1285.5,1364.7,1421.1,1488.1,1625,1456.9,1296.9,1285.5,1285.5,1363.8
56,Neva,8027.9,8027.9,8027.9,8045.8,10574.5,12074.7,11011,11704.2,8871.9,8031.5,8027.9,8027.9,9204.4
57,Ferguson,0,0,0,0,0,0,0,0,0,0,0,0,0
58,Copper,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9,24.9
59,Gloma,1728.4,1728.4,1728.4,1729.2,1903.1,2987.3,4253.9,4640.8,2178.8,1728.5,1728.4,1728.4,2338.6
60,Kokemaenjoki,1710.1,1710.1,1710.1,1710.1,1914.1,2077.2,2256.1,2597,2145.7,1723.1,1710.1,1710.1,1914.5
61,Vaenern-Goeta,2650.5,2650.5,2650.5,2652.1,2858.8,3208.6,3451.6,3187.7,2747.6,2651,2650.5,2650.5,2834.2
62,Thlewiaza,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
63,Alsek,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
64,Volga,116047.3,116047.3,116127,151487.2,607847.6,798852.7,1124796,963030.8,356041,162975,120668.5,116099,395835
65,Dramselv,642.5,642.5,642.5,642.5,654.1,826,1109.7,905.7,702.3,642.5,642.5,642.5,724.6
66,Arnaud,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Nushagak,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4,7.4
68,Seal,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2,7.2
69,Taku,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8
70,Narva,1601.6,1601.6,1601.6,1604.9,1893.4,1940.6,2045.5,2297.4,1791.2,1607.8,1601.6,1601.6,1765.7
71,Stikine,10,10,10,10,10,10,10,10,10,10,10,10,10
72,Churchill,605,605,605.1,680.2,814,750.3,759.1,763.2,704.7,665.2,616.8,605.6,681.2
73,Feuilles (Riviere Aux),0,0,0,0,0,0,0,0,0,0,0,0,0
