basin_id,basin_name,Area (km2),jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,average
1,Khatanga,294907.5,1571.7,58.7,35.4,21.4,221.2,25398.5,12884.8,6944.9,4357,2419,1461,882.4,4688
2,Olenek,208522,1231,159.8,96.5,58.3,658.3,16431.9,5510.3,3070.3,1870.4,1106.6,668.3,403.7,2605.5
3,Anabar,85015.5,525.8,85.3,51.5,31.1,18.8,4128.1,2082.3,1011.7,602.5,354.9,214.4,129.5,769.6
4,Yana,233479.4,896.1,72.8,44,26.6,159.2,7535.9,6820.7,3807.3,1832.6,1106.8,668.5,403.8,1947.9
5,Yenisei,2558237.3,16135.2,742.2,452.4,7752.7,162714.9,162047.8,97190,64240.9,48091.7,24440.8,14455.9,8735.1,50583.3
6,Indigirka,341227.8,1902.5,179.7,108.5,65.6,450.9,16809.8,14507.5,6786,3631.1,2176.2,1314.4,793.9,4060.5
7,Lena,2425551.1,15771.8,655.1,396.4,361.9,87091.9,124907.8,84650.4,63046.2,53636.1,23839.3,14390.4,8692.2,39786.6
8,Omoloy,38871.3,26.9,0.7,0.4,0.2,0.2,426.1,277.1,128.9,73.6,43.7,26.4,15.9,85
9,Tana (NO. FI),14518.1,71.8,0,0,0,2851.4,778.3,457,276.1,217.4,149,77.9,47.1,410.5
10,Colville,57544.7,185.8,1.4,0.8,0.5,45.5,1938,1977.6,1034.6,579.1,324.5,196,118.4,533.5
11,Alazeya,85493.3,184.1,31.2,18.9,11.4,6.9,1896.8,555,314.2,189.8,114.6,69.2,41.8,286.2
12,Anderson,66491.7,54.7,0.4,0.2,0.1,2548.6,797.3,434.9,262.7,158.7,95.8,57.9,35,370.5
13,Kolyma,652850.5,3721.1,160.9,97.2,58.8,5342.4,25441.2,35941.4,16207.8,10517.4,5575.9,3367.8,2034.2,9038.8
14,Tuloma,26057.7,94.6,11.6,7.1,4.4,1732.1,547.3,300,180.4,119.2,121.3,55.2,33.5,267.2
15,Muonio,37346.5,143.9,13.1,8,213.9,2005.5,1110.4,750.1,388.4,294.9,187.3,101.6,61.4,439.9
16,Yukon,829632.3,4850.3,252.5,152.7,943.7,53166.5,48766.9,29776.4,16607,12906.1,7648.1,4212.2,2544.3,15152.2
17,Palyavaam,31112.8,106.3,0,0,0,0,1878.7,1036.4,526.4,355.2,191.1,115.4,69.7,356.6
18,Kemijoki,55824.7,487.2,3.2,2,594.1,8987,2448.1,1458.1,934.7,1082.1,1366.4,516.4,312,1515.9
19,Mackenzie,1752001.5,5637.8,86.9,53.5,9063.7,79403.5,79172.3,46002,24877.4,15732.9,10447.5,5767,3484.1,23310.7
20,Noatak,32319.5,156.5,0.8,0.5,0.3,401.9,1980.3,1099.7,624.3,629.7,275.6,166.5,100.6,453.1
21,Anadyr,171275.8,1182.1,1.3,0.8,0.5,2452.2,21998.7,10380.5,5461.5,4105.7,2116.1,1278.1,771.9,4145.8
22,Pechora,312763.3,2459.1,31.2,19.2,1449,58305.9,38794.9,16270.2,9630.9,7855.7,4450.1,2542.8,1536.1,11945.4
23,Lule,25127.6,313.1,1,0.6,1119.1,3851.3,3784.3,1895.4,1112.2,951.7,683,335.9,202.9,1187.5
24,Kalixaelven,17157.6,78.3,6.6,4,388.6,1237.8,757.3,351.5,203.1,137.7,118.6,57.6,34.8,281.3
25,Ob,2701040.7,6930.1,198.1,135.9,80842.2,148619.4,68228.3,36839.8,23540.4,18275.7,14074.8,6865,4161.9,34059.3
26,Ellice,12599.6,30.5,0,0,0,0,958.3,248.8,150.3,90.8,54.8,33.1,20,132.2
27,Taz,152086,989.9,6,3.6,2.2,12922.1,23163.4,7321.6,4370.1,3193.2,1738,1049.7,634,4616.2
28,Kobuk,30242.4,211.1,31.8,19.2,11.6,2063.7,1100.6,619.7,373.5,338.6,159.6,96.4,58.2,423.7
29,Coppermine,43016.4,28.9,0.1,0.1,0,390,714.8,246.4,139.9,84.5,51,30.8,18.6,142.1
30,Hayes(Trib. Arctic Ocean),22992.8,27,0,0,0,0,834.5,225.2,133.1,80.4,48.5,29.3,17.7,116.3
31,Pur,111351.3,740.7,0.3,0.3,0.3,7186.7,15161.5,4615.2,2795.1,2896.5,1331.2,804.1,485.8,3001.5
32,Varzuga,8182.2,47.2,0,0,0,683.9,188.7,110.1,66.6,112.4,140.1,51.2,30.9,119.3
33,Ponoy,13186,127.2,0,0,0,1585.1,438.1,255.8,178.3,268.5,394.1,138.1,83.4,289.1
34,Kovda,10227.6,30.6,0,0,0,881.9,280.3,152.3,92.5,71.2,78,33.2,20.1,136.7
35,Back,141351.9,327.2,0,0,0,5571.3,8215.3,2637.8,1590.9,990.4,588,355.2,214.5,1707.6
36,Kem,42080.8,235.3,0.5,0.4,2642.5,3902.2,1352.6,781.6,490.1,429.8,696.2,253.6,153.2,911.5
37,Nadym,54624.7,383.2,0.2,0.1,0.1,4504.7,7346.2,2354.4,1461.2,1502.8,687.7,415.4,250.9,1575.6
38,Quoich,28217.6,41.6,0,0,0,0,1216.3,349.6,199.5,128.2,74.8,45.2,27.3,173.5
39,Mezen,76715.3,372.9,4.5,2.7,3916.9,10521.7,3855.7,2081,1250.6,799.5,867.4,386.3,233.3,2024.4
40,Iijoki,16163.3,94.2,0.1,0.1,1326.2,997,396,232.9,151.1,155.9,299.9,102.3,61.8,318.1
41,Joekulsa A Fjoellum,7311,75,0,0,5.7,754,592.9,236.8,148,147,221.4,82.3,49.2,192.7
42,Svarta. Skagafiroi,3429.6,54.9,0,29.3,123.6,363.8,392.6,148,89,76.1,152.2,68.9,36,127.9
43,Oulujoki,30554.5,230.9,1.1,0.8,5398.3,1702.8,939.7,562.7,373.1,416.6,710.7,247.3,149.5,894.5
44,Lagarfljot,3285.3,112.9,0,0,22.3,1190.7,742.9,324.1,231.6,257.6,309.8,128.1,74,282.9
45,Thelon,238839,478.4,0.1,0,0,6190.9,10749.7,3370.2,2026.8,1686.6,859.5,519.1,313.5,2182.9
46,Angerman,32372,343.5,0.5,0.4,4027,3524.6,2685.5,1232.5,833.4,764.3,954.8,371,224.1,1246.8
47,Thjorsa,7527.1,422.1,33.1,91.6,1123,1723.6,1322.4,662.2,584,668.7,840.8,478.5,288.8,686.6
48,Northern Dvina(Severnaya Dvina),323573.1,1021.4,35.1,22.2,44567.2,19378.9,9541.8,5592.3,3376.1,2058.6,2097.6,971.8,587.9,7437.6
49,Oelfusa,5678.3,378.5,0,323.1,1726.6,690.3,685.2,565.6,398,471.2,658.7,434.6,320.1,554.3
50,Nizhny Vyg (Soroka),31334.1,206.5,0.1,0.1,5451.2,1622.9,926.7,553.6,334.4,420.4,626.2,224.2,135.5,875.1
51,Kuskokwim,118114,1269.5,1.4,0.9,0.5,16620.3,7998.3,5470.1,5473.3,5291.7,2398.6,1372.5,829,3893.8
52,Vuoksi,62707.4,334.8,1.2,1.2,10528.9,2968.3,1728.3,1039.2,643.3,560.3,960.4,387,220,1614.4
53,Onega,65894,224.9,2.8,1.8,10633.8,3402.5,1902,1125.9,680.1,436.9,556.4,234.8,141.1,1611.9
54,Susitna,49470.3,1270.7,2.2,1.4,3654.1,8319,8905.7,5269.7,4095,4842.3,2738.5,1370.5,827.8,3441.4
55,Kymijoki,33623.1,186.3,1,1,4570.7,1319.9,758.1,456.3,277.2,216.4,308.4,311.4,122.5,710.7
56,Neva,223309.5,1195.2,10.6,8.8,32169.2,9560,5468.9,3272.4,1984.2,1703.3,2586.4,1686.6,773.9,5034.9
57,Ferguson,15200.4,40.3,0,0,0,0,1053.5,296.1,171.1,142.1,72.5,43.8,26.4,153.8
58,Copper,64959.7,1090.8,0,0,17.3,7546.7,10214.6,7440.5,4185.8,3963.1,2215.5,1184.1,715.2,3214.5
59,Gloma,42862.7,563.2,1.3,12,3439.3,3368.1,3615.4,2048.4,1487.9,1400.5,1344.1,677.6,369.7,1527.3
60,Kokemaenjoki,26615.9,236.7,1.6,1.5,3662.2,1092.9,616.1,371.5,225.5,147.2,152.9,501.9,154.8,597.1
61,Vaenern-Goeta,51791.5,1198.3,3.2,2259.8,5377.8,2297.5,1379.5,819.2,707,791.8,1475.7,1616.9,1037.2,1580.3
62,Thlewiaza,64399.6,91.9,10.3,6.2,3.7,1834.1,666,339.5,204.2,198.6,94.1,56.8,34.3,295
63,Alsek,28422,286.1,0,0,584.4,2611.7,2770.9,1100.4,738.6,961.8,680,310.6,187.6,852.7
64,Volga,1408278.9,3091.7,147.2,747.6,140132.1,51088.9,28581.8,17230,10747.1,6887.4,6486.8,3165.6,1902,22517.4
65,Dramselv,17364,259.8,0.5,97,1233.4,1458.1,1401.1,734,665.9,720.2,633,304.9,170.5,639.9
66,Arnaud,44931.9,564.3,0,0,0,632.5,5641.8,2064.4,1543.3,1878.6,1362.9,612.6,370,1222.5
67,Nushagak,29513.6,517.3,0,0,1308.4,4936.8,1770.2,1042.6,1293.2,1548.5,1382.8,561.6,339.2,1225.1
68,Seal,53439.9,126.4,1.6,1,0.6,3534.7,1434.9,728.5,432.3,415.7,241.7,130.6,78.9,593.9
69,Taku,17967.6,430.1,0,0,806.8,2508,2296.9,1033.2,783.7,1027.7,1263.6,467,282,908.3
70,Narva,58147,710.7,1.2,1.2,6018.5,1937,1079.4,639.7,420,372.9,731.8,1459.3,466.4,1153.2
71,Stikine,51147.5,1826.9,603.3,508,1656.9,9699.8,11933,5766.5,3728.6,3815.5,3379.2,1948.6,1370.5,3853.1
72,Churchill,298505,789.5,20.1,12.3,3400,13120.8,7724.3,3761.6,2131.7,1960.1,1724.5,774.9,468.2,2990.7
73,Feuilles (Riviere Aux),37425.3,673.6,0,0,0,2539.5,5199.5,2051,1757.3,1931.8,1773.6,731.3,441.7,1424.9
74,George,39054.1,758.1,0,0,0,4958,5039.7,3961.6,2616.4,2618.4,1701.2,823,497.1,1914.5
75,Caniapiscau,105690.6,2297.2,0.9,0.5,0.3,16170.7,12475.4,6805.5,6229.8,6669.5,6024.1,2490.3,1504.1,5055.7
76,Western Dvina (Daugava),89340.3,772.7,2.1,2.1,9180.8,2977.1,1713.6,1016.3,619.6,425.3,849.3,1548.2,507.4,1634.5
77,Aux Melezes,41384.1,637.5,0.1,0.1,0,5433.5,3250.9,1841.6,1727.2,1787.2,1696.1,691.6,417.7,1457
78,Baleine. Grande Riviere De La,22136.1,379.8,0,0,0,4270.1,1505.8,1122,983.1,1130.8,994.3,412.3,249,920.6
79,Spey,2942.2,478.1,203.5,174.9,136.5,98.8,58.1,43.8,52.5,81.3,157.4,246.1,292.1,168.6
80,Kamchatka,54103.9,689.9,0,0,0,9603.9,7199.7,5399.2,2604.2,1918.9,1546.8,749,452.4,2513.7
81,Nass,21211.7,1054,0,810.7,3441.7,6020.4,4634.1,2047.3,1515.8,1839.7,2607.5,1420.3,691.1,2173.5
