basin_name,wikipedia_link
Khatanga,https://fr.wikipedia.org/wiki/Khatanga
Olenek,https://fr.wikipedia.org/wiki/Oleniok
Anabar,https://fr.wikipedia.org/wiki/Anabar
Yana,Yana
Yenisei,https://fr.wikipedia.org/wiki/Yenisei
Indigirka,https://fr.wikipedia.org/wiki/Indigirka
Lena,https://fr.wikipedia.org/wiki/L%C3%A9na
Omoloy,https://en.wikipedia.org/wiki/Omoloy
Tana (NO. FI),https://fr.wikipedia.org/wiki/Tana_(fleuve)
Colville,https://fr.wikipedia.org/wiki/Colville_(fleuve)
Alazeya,https://fr.wikipedia.org/wiki/Alaze%C3%AFa
Anderson,https://fr.wikipedia.org/wiki/Rivi%C3%A8re_Anderson
Kolyma,https://fr.wikipedia.org/wiki/Kolyma
Tuloma,https://en.wikipedia.org/wiki/Tuloma
Muonio,https://fr.wikipedia.org/wiki/Muonio
Yukon,https://fr.wikipedia.org/wiki/Yukon
Palyavaam,https://fr.wikipedia.org/wiki/Palyavaam
Kemijoki,https://fr.wikipedia.org/wiki/Kemijoki
Mackenzie,https://fr.wikipedia.org/wiki/Mackenzie_(fleuve)
Noatak,https://fr.wikipedia.org/wiki/Noatak_(fleuve)
Anadyr,https://fr.wikipedia.org/wiki/Anadyr_(fleuve)
Pechora,https://fr.wikipedia.org/wiki/Petchora_(fleuve)
Lule,https://fr.wikipedia.org/wiki/Lule%C3%A4lven
Kalixaelven,https://fr.wikipedia.org/wiki/Kalix%C3%A4lven
Ob,https://fr.wikipedia.org/wiki/Ob
Ellice,https://fr.wikipedia.org/wiki/Ellice
Taz,https://fr.wikipedia.org/wiki/Taz_(fleuve)
Kobuk,https://fr.wikipedia.org/wiki/Kobuk_(fleuve)
Coppermine,https://fr.wikipedia.org/wiki/Coppermine
Hayes(Trib. Arctic Ocean),https://en.wikipedia.org/wiki/Hayes_River_(Nunavut)
Pur,https://fr.wikipedia.org/wiki/Pour_(fleuve)
Varzuga,https://fr.wikipedia.org/wiki/Varzouga
Ponoy,https://fr.wikipedia.org/wiki/Pono%C3%AF
Kovda,https://fr.wikipedia.org/wiki/Kovda
Back,https://fr.wikipedia.org/wiki/Rivi%C3%A8re_Back_(Nunavut)
Kem,https://fr.wikipedia.org/wiki/Kem_(fleuve)
Nadym,https://fr.wikipedia.org/wiki/Nadym_(fleuve)
Quoich,https://en.wikipedia.org/wiki/River_Quoich
Mezen,https://fr.wikipedia.org/wiki/Mezen_(fleuve)
Iijoki,https://fr.wikipedia.org/wiki/Iijoki
